3658,MD_LICH_LORD_100,Lich Lord,Lich Lord,100,2516502,0,86889,65667,3,4672,6894,330,178,128,156,174,152,223,76,10,12,2,6,89,103297173,100,1160,10,10,0,617,5000,12246,5000,12246,5000,23191,1,23192,1,23193,1,23194,1,27025,1,28483,70,0,0,0,0,0,0,0,0
3659,MD_LICH_LORD_160,Lich Lord,Lich Lord,160,23485539,0,223021,218338,3,4672,6894,330,178,148,176,194,172,243,96,10,12,2,6,89,103297173,100,1160,10,10,0,617,5000,12246,5000,12246,5000,23191,500,23192,500,23193,500,23194,500,27025,1,28483,1000,0,0,0,0,0,0,0,0
3660,MD_NIGHTMARE_100,Nightmare,Nightmare,100,21300,1,599,815,1,599,815,116,15,67,42,30,25,107,25,10,12,2,6,68,0x2003295,150,1816,816,432,0,0,0,0,0,0,0,944,6000,510,500,2608,2,603,30,1297,1,25235,1,984,60,0,0,0,0,4127,1
3661,MD_NIGHTMARE_160,Nightmare,Nightmare,160,199129,1,501,1032,1,2722,3959,116,15,87,72,60,65,127,45,10,12,2,6,68,0x2003295,150,1816,816,432,0,0,0,0,0,0,0,944,6000,510,500,2608,2,603,30,1297,1,0,0,984,60,25235,500,0,0,4127,1
3662,MD_JAKK_100,Jakk,Jakk,100,23993,1,632,710,1,633,886,90,25,68,53,52,35,85,25,10,12,1,0,43,0x3695,200,1180,480,648,0,0,0,0,0,0,0,1062,9000,912,900,985,31,25235,1,1008,5,535,1000,7938,10,0,0,0,0,4109,1
3663,MD_JAKK_160,Jakk,Jakk,160,181967,1,632,710,1,2575,3738,90,25,88,83,82,55,111,45,10,12,1,0,43,0x3695,200,1180,480,648,0,0,0,0,0,0,0,1062,9000,912,900,985,31,25235,500,1008,5,535,1000,7938,10,0,0,0,0,4109,1
3664,MD_GHOUL_100,Ghoul,Ghoul,100,24471,1,583,656,1,638,863,78,5,66,32,39,21,60,20,10,12,1,1,49,0x3885,250,2456,912,504,0,0,0,0,0,0,0,958,6000,756,110,509,700,25235,1,2609,60,934,150,1260,1,0,0,0,0,4110,1
3665,MD_GHOUL_160,Ghoul,Ghoul,160,200634,1,583,656,1,2678,3888,78,5,86,42,59,41,80,30,10,12,1,1,49,0x3885,250,2456,912,504,0,0,0,0,0,0,0,958,6000,756,110,509,700,25235,500,2609,60,934,150,1260,1,0,0,0,0,4110,1
3666,MD_DRAINLIAR_100,Drainliar,Drainliar,100,22350,1,389,438,1,580,797,50,15,45,54,44,32,80,30,10,12,0,2,47,0x3095,250,1276,576,384,0,0,0,0,0,0,0,1011,60,913,3000,725,20,507,1000,7006,5500,25235,1,756,40,0,0,0,0,4069,1
3667,MD_DRAINLIAR_160,Drainliar,Drainliar,160,184779,1,389,438,1,2239,3989,50,15,65,74,64,52,100,50,10,12,0,2,47,0x3095,250,1276,576,384,0,0,0,0,0,0,0,1011,60,913,3000,725,20,507,1000,7006,5500,25235,500,756,40,0,0,0,0,4069,1
